350Z Autocross Car Setup,350z-autocross-car-setup,"<p>Running in BS (B-Stock) for three years I learned a lot about the 350Z and the setup for the car. While I don't currently still have that car, I will go ahead and create a post about the setup of the car for BS.</p>

<p><strong>Car:</strong> 2003 Nissan 350Z Enthusiast</p>

<p><strong>Options:</strong> Aluminum Door plates</p>

<p><strong>Wheels:</strong> Enkie RP-F1</p>

<p><strong>Tires:</strong> Hoosier Autocross tires</p>

<p><strong>Shocks:</strong> Koni Double-adjustable sport shocks (from Nissan Motorsport)</p>

<p><strong>Configuration:</strong>&nbsp;Empty fuel tank, spare tire and all carpet removed from rear</p>

<p><strong>Weight:</strong>&nbsp;~3075lbs.</p>

<p><strong>Alignment:</strong>&nbsp;Camber FL -0.7degrees FR -1.2degrees RL -2.0degrees RR -2.0degrees</p>

<p>Toe FL -.08degrees FR -.10degrees RL -0.01degrees RR 0.03degrees</p>

<p>Some of these values might be off, it has been three years since I owned the car ;) I'm working on trying to get all my old information together about the car.</p>  <div>&nbsp;</div>",2009-11-18 00:40:01.000,html,,,/Blog/itemId/450/350Z-Autocross-Car-Setup
2011 Autocross Schedule,2011-autocross-schedule,"<p><strong>Tentative Schedule</strong></p>

<p>This post will be updated over time to include the autocross schedule for the Project350z. While I doubt the car will make it to all these events, you gotta have a goal to start with right?</ul>
<p>      <li><a href=""http://www.rmsolo.org"">1/23/2010 Winter Series Event 4, Colorado</a></li>
<li><a href=""http://www.norcalufo.org/main/index.php?option=com_content&amp;view=category&amp;id=34&amp;Itemid=54"">9/26/2010 NorCal UFO, California</a></li>
<li>1/30/2011 Norcal UFO, California<a style=""text-decoration: underline; color: #003366;"" href=""http://www.rmsolo.org""></a></li>
<li>2/13/2011 SFR SCCA, California</li>
<li>2/19/2011 SFR SCCA, California</li>
<li>2/20/2011 SFR SCCA, California</li>
<li>3/6/2011 SFR SCCA, California</li>
<li>4/2-3/2011 SCCA San Diego National Tour, California</li>
<li>4/9-10/2011 SCCA El Toro Pro Solo, California</li>
<li>6/4-5/2011 American Auto-x, California</li>
<li>6/12/2011 SFR SCCA, California</li>
<li>6/19/2011 Norcal UFO, California</li>
<li>6/26/2011 SFR SCCA, California</li>
<li>7/2-3/2011&nbsp;American Auto-x, California</li>
<li>7/10/2011 SFR SCCA, California</li>
<li>7/24/2011&nbsp;SFR SCCA, California</li>
<li>7/31/2011&nbsp;Norcal UFO, California</li>
<li>8/7/2011&nbsp;SFR SCCA, California</li>
<li>8/21/2011&nbsp;SFR SCCA, California</li>
<li>8/28/2011&nbsp;Norcal UFO, California</li>
<li>9/18/2011&nbsp;Norcal UFO, California</li>
<li>10/8-9/2011&nbsp;American Auto-x, California</li>
<li>10/30/2011&nbsp;Norcal UFO, California</li>
<li>11/13/2011&nbsp;Norcal UFO, California</li>  </ul>",2009-11-28 02:17:21.000,html,,,/Blog/itemId/455/2011-Autocross-Schedule
Shopping for a 350z,shopping-for-a-350z,"<p>So the 2010 Autocross season is starting up soon, and here in Colorado the winter series is running strong. I had a little incident with the <a href=""http://www.projectquattro.com"" target=""_blank"">projectquattro</a> a few weeks ago, which also has spurred along the motivation to get a 350z.</p>

<p>I&rsquo;ve been monitoring Craigslist here locally for a while now, and it appears that there is a wide variety of 350zs available here around Denver right now. We went north about an hour this afternoon to check out one in particular. <a href=""http://www.flickr.com/photos/chammond/sets/72157623108242515/"" target=""_blank"">Check out the photos that I took of the car</a>.</p>

<p>It&rsquo;s a 2004 Enthusiast model, with an Injen SES Exhaust, a Nismo short shifter, 18&rdquo; wheels off a Performance model and a few other mods. Because it was Sunday we didn&rsquo;t get to look in the car, except through the windows, or under the hood. I&rsquo;m hoping to possibly drive back up there one evening this week to take a look and test drive of the car. </p>

<p>To speed up the purchasing process I&rsquo;m hoping to get rid of the 240z soon, if you&rsquo;re interested in a <a href=""http://www.project240z.com/"" target=""_blank"">1973 Datsun 240z check out the site</a>!</p>

<p>I&rsquo;ll be updating the website here over the next couple weeks as hopefully things ramp up!</p>",2010-01-18 01:26:31.000,html,,,/Blog/itemId/460/Shopping-for-a-350z
"And so it begins, Project350z.com now has a project",and-so-it-begins-project350zcom-now-has-a-project,"<p>So begins the latest project, <a href=""http://www.projectquattro.com"" target=""_blank"">Projectquattro.com</a> has been disposed of, after the incident a few weeks ago, where it took out a light pole, it was time for the car to go. I ended up not getting it repaired, it was actually going to cost just less than we originally paid for it, so instead, we traded it in tonight!</p>

<p>Woot!</p>

<p>I&rsquo;m back in autocross mode with a 2004 Nissan 350Z Enthusiast, and here she is.</p>

<p><a href=""http://www.flickr.com/photos/chammond/4297068944/"" target=""_blank""><img alt="""" src=""http://farm5.static.flickr.com/4062/4297068944_77490c3a58_m.jpg"" /></a></p>

<p>You might think, hey, wait a minute, isn&rsquo;t that the same car you had back when? Well, not quite. My previous 350z was a 2003 Enthusiast. What&rsquo;s the difference? Well between 2k3 and 2k4, not much, 2k4 I believe is less buggy, the only physical difference i know of is that the 2004 has pads next to your leg on the center console, and a power plug under the passenger side of the dashboard. </p>

<p>Now, the differences between my old 2003 and my new 2004, here they are (differences as of time of purchase of the 2004, and time of sale of the 2003).</p>  <table border=""0"" cellspacing=""0"" cellpadding=""2"" width=""783"">      <tbody>          <tr>              <td valign=""top"" style=""width: 339px;""><strong>2003</strong></td>              <td valign=""top"" style=""width: 442px;""><strong>2004</strong></td>          </tr>          <tr>              <td valign=""top"" style=""width: 339px;"">              <ul>                  <li>Koni Double Adjustable Shocks </li>                  <li>Custom Swaybar </li>                  <li>17&rdquo; OEM Wheels </li>                  <li>NISMO X-pipe </li>                  <li>Custom trailer hitch </li>              </ul>              </td>              <td valign=""top"" style=""width: 442px;"">              <ul>                  <li>18&rdquo; OEM Wheels from a Performance Model </li>                  <li>Injen Super SES Exhaust </li>                  <li>Pioneer Stereo, custom subwoofers and amplifier </li>                  <li>Unknown carbon fiber front splitter </li>                  <li>Unknown carbon fiber rear spoiler </li>                  <li>Carbon fiber accents in Engine bay </li>              </ul>              </td>          </tr>      </tbody>  </table>  <p>&nbsp;</p>

<p>So what comes next? Well, more modifications to get the car ready for the STR Street Touring Roadster class in the SCCA. When I&rsquo;ll get to all those I&rsquo;m not sure. I&rsquo;m going to try to go over the car thoroughly tomorrow in the garage, see if there are any other custom parts I don&rsquo;t know about. At some point in the coming weeks I&rsquo;ll come up with a list of things I need to get done to the car before the full blown autocross season starts up.</p>

<p>Also tomorrow I&rsquo;ve got a guy coming to take a look at the <a href=""http://www.project240z.com"" target=""_blank"">Project240z</a>. I would like to keep that, but I know I shouldn&rsquo;t, I won&rsquo;t ever get it finished, especially now that I have this 350z! </p>

<p>On January 30th I&rsquo;m going to take the <a href=""http://www.project350z.com/"" target=""_blank"">Project350z</a> out to its first Autocross.</p>",2010-01-23 01:20:49.000,html,,,/Blog/itemId/461/And-so-it-begins-Project350zcom-now-has-a-projec
Prepping a 350z for STR (SCCA Autocross),prepping-a-350z-for-str-scca-autocross,"<p>My initial intentions with this new (to me) 350z is to run in the newly formed STR class. This is a street tire class, meaning 140 treadwear or greater, which differs from the Stock Classes, which technically run &ldquo;street legal&rdquo; tires, but are often treadwear 50 or less. </p>

<p>STR also allows for a number of other modifications, over time I&rsquo;m going to be slowly prepping the car for the class, hopefully finalizing everything by the end of the autocross year, in time for Nationals in Lincoln, Nebraska.</p>

<p>As I blog about the prep work for the car I&rsquo;ll <a href=""http://www.project350z.com/Articles/tags/STR.aspx"" target=""_blank"">tag the posts with &ldquo;STR&rdquo;</a>&nbsp;</p>

<p>I&rsquo;ve started by reading a couple of threads over on that website&nbsp; I used to manage, SCCAForums.com. <a href=""http://sccaforums.com/forums/1/370386/ShowThread.aspx"" target=""_blank"">The first is a thread from &ldquo;NelsonI&rdquo;</a>, it has input from a number of different people, some you can trust, some you can&rsquo;t, but generally good feedback. I&rsquo;ll start blogging over the next few months about the some of the aspects of that post, and what I decide with the various parts and setup for the car.<br />  <br />  <strong>UPDATE: I am not longer building for STR, I am now building for BSP</strong></p>",2010-01-23 21:59:33.000,html,,,/Blog/itemId/462/Prepping-a-350z-for-STR-SCCA-Autocross
Wheels for a 350z in STR,wheels-for-a-350z-in-str,"<p>So I’m slowly starting to figure out what I need to do to get the car ready for the 2010 Autocross season. I’ve been looking around, reading the 2010 SCCA Solo rules, covering the details of the class. I’ve got some more research to do, but for now I’m starting to figure out which wheels I am going to run on the car.</p>

<p>I’ll be running in a street tire class, limited in the treadwear rating and size (width). Tire choice will be left up to another blog post all together. I’m not making a sure decision on wheels just yet, but here’s what I am currently thinking.</p>

<p>When I ran my 2003 350z in BStock I ran a 17” Enkei RPF1 wheels, (<a href=""http://www.flickr.com/photos/chammond/1282982714/in/set-72157601780037044/"" target=""_blank"">here’s a photo</a>). I was limited back then in that I had to run the same size wheels as came from the factory, in STR I won’t be limited to that requirement, but there is a limit as to the max width allowed in the class, 9”. I was thinking I would likely try to get 17” wheels again, but this time in the 9” width, today however Nick put it in my head that I should look at 18” wheels.</p>

<p>the downfall of 18” wheels would be that they are likely going to be heavier than the same wheel in a 17”, but the benefit might be that they would have a taller tire/wheel combo, potentially helping to put more power down. The 350z likely, even in somewhat stock form, won’t have too little power, probably the most power in the class.</p>

<p>If I do decide to go with 18” wheels, that’ll unfortunately cost more from a tire perspective, and also more for the&#160; wheels, but the advantages may outweigh the disadvantages. I don’t know if I’ll be able to find the proper size (18”x9”) in the Enkei RPF1s, though I wouldn’t mind those wheels again. They are nice and light weight, which is definitely something I need to be concerned with in the heavy 350z.</p>

<p>I’m not going to be buying for a couple weeks, if that soon, but I’m definitely going to spend some more time looking at wheel options.</p>",2010-01-27 23:45:20.000,html,,,/Blog/itemId/464/Wheels-for-a-350z-in-STR
"Dropping Weight in the 350z, for STR (now BSP)",dropping-weight-in-the-350z-for-str-now-bsp,"<p>This blog post will be gradually updated over time as I figure out how to drop weight in the 350z prepping it for <s>STR in 2010</s> BSP for 2011.</p>

<p>My 2003 350Z weighed in at 3075lbs in race trim, which included the 17&rdquo; Enkei RPF1s, as little fuel as possible, and all the loose items in the rear of the car removed (carpet, spare tire, tools). I also had the stock exhaust removed, and a NISMO Y-Pipe. The car was a 2003 Enthusiast with only front airbags, aluminum door sills, and splash guards. My new car is a 2004 Enthusiast, with aluminum door sills, no splash guards, front airbags only, and a few other custom mods I will document later. I have a feeling it weighs quite a bit more than my 03 did, but I&rsquo;m hoping to get it down under 3k pounds if possible.</p>

<p>Things I will be looking at:</ul>
<p>      <li>Replacing seats</li>
<li><a target=""_blank"" href=""http://www.flickr.com/photos/17726343@N00/4309834337/"">Removing the custom sub woofers/amps</a>&nbsp;(<a href=""http://www.project350z.com/Articles/itemId/492/The-350z-goes-on-a-Diet.aspx"">removal post</a>)</li>
<li>Lighter wheels</li>
<li>Lighter battery</li>
<li>Lightweight flywheel</li>
<li>Suspension mods</li>
<li>More to come</li>  </ul>",2010-01-27 23:53:21.000,html,,,/Blog/itemId/465/Dropping-Weight-in-the-350z-for-STR-now-BSP
Always good after a wash and a wax,always-good-after-a-wash-and-a-wax,"<p>It has been quite a while, over a year, since I really spent some time washing a waxing a vehicle. My how time has flown, last year we spent time prepping for, and moving to Colorado, during that time I was without a &ldquo;fun&rdquo; car, having sold the <a href=""http://www.corvettez06.org"">Corvette</a> back in October 2008.</p>

<p>Today, for the first time since likely 1995 I spent time washing and waxing a car in California. And the weather was beautiful! I spent the yesterday evening and today up at a friend&rsquo;s house in Fairfield, the town I went to high school in. We had dinner with friends from HS last night, and then this morning I spent the day cleaning up my the 350z for the first time since picking it up, and boy did it need it, especially after the 1200 mile road trip (on the back of an open trailer last week from Colorado to California).</p>

<p>I washed the car, clay barred the various marks and such in the paint, washed it again, and then waxed the car. It looks mucho better now, if I do say so for myself. Here are some pictures of the beauty after her bath.</p>

<p><a href=""http://www.flickr.com/photos/chammond/4416388858/""><img alt=""IMG_2159"" src=""http://farm3.static.flickr.com/2715/4416388858_f5a350d3ec_m.jpg"" width=""240"" height=""180"" style=""border-width: 0px; border-style: solid;"" /></a>&nbsp;<a href=""http://www.flickr.com/photos/chammond/4416379820/""><img alt=""IMG_2158"" src=""http://farm3.static.flickr.com/2725/4416379820_e0b8e238f7_m.jpg"" width=""240"" height=""180"" style=""border-width: 0px; border-style: solid;"" /></a></p>

<p>The rest of the afternoon I hung out and had a BBQ with friends, and new friends. I had a great time, but had to head back down here to San Mateo so I can work tomorrow. I made the drive in 1hr and 10 minutes. If only traffic were that nice all the time I might consider buying a house in my old stomping grounds and commuting to work. But I can only imagine that most days that would be a 2+ hr drive during commute times. Some day, perhaps later this week, I&rsquo;ll get around to blogging about the Project350z&rsquo;s first autocross which happened a few weeks ago.</p>",2010-03-08 01:24:46.000,html,,,/Blog/itemId/468/Always-good-after-a-wash-and-a-wax
Buying a modded car,buying-a-modded-car,<p>Don’t do it! Unless you buy it from a friend and know exactly what they did!</p>

